Ontvangen om 22.11.24-22:11:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.279785, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:12:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.319824, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:13:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.360840, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:14:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.401855, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:15:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.441895, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:16:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.479980, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:17:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.488770, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:18:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.500000, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:19:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.512207, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:20:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.523926, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.891113

Ontvangen om 00.00.00-00:00:00 - Totaal dagverbruik: 0000, Totaal nachtverbruik: 000000, Totale dagopbrengst: 0000.000000, Totale nachtopbrengst: 000.000000, Totaal gasverbruik: 0.000000

Ontvangen om 22.11.24-22:00:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.858887, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:01:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.875000, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:02:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.914062, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:03:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.953125, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:04:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.993164, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:05:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.033203, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:06:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.073242, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:07:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.113770, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:08:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.155762, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:09:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.196777, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:10:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.237793, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:11:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.279785, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:12:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.319824, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:13:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.360840, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:14:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.401855, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:15:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.441895, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:16:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.479980, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:17:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.488770, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:18:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.500000, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:19:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.512207, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:20:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.523926, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.891113

Ontvangen om 00.00.00-00:00:00 - Totaal dagverbruik: 0000, Totaal nachtverbruik: 000000, Totale dagopbrengst: 0000.000000, Totale nachtopbrengst: 000.000000, Totaal gasverbruik: 0.000000

Ontvangen om 22.11.24-22:00:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.858887, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:01:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.875000, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:02:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.914062, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:03:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.953125, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:04:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.993164, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:05:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.033203, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:06:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.073242, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:07:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.113770, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:08:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.155762, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:09:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.196777, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:10:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.237793, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:11:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.279785, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:12:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.319824, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:13:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.360840, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:14:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.401855, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:15:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.441895, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:16:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.479980, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:17:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.488770, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:18:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.500000, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:19:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.512207, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:20:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.523926, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.891113

Ontvangen om 00.00.00-00:00:00 - Totaal dagverbruik: 0000, Totaal nachtverbruik: 000000, Totale dagopbrengst: 0000.000000, Totale nachtopbrengst: 000.000000, Totaal gasverbruik: 0.000000

Ontvangen om 22.11.24-22:00:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.858887, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:01:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.875000, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:02:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.914062, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:03:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.953125, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:04:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.993164, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:05:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.033203, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:06:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.073242, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:07:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.113770, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:08:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.155762, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:09:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.196777, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:10:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.237793, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:11:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.279785, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:12:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.319824, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:13:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.360840, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:14:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.401855, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:15:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.441895, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:16:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.479980, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:17:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.488770, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:18:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.500000, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:19:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.512207, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:20:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.523926, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.891113

Ontvangen om 00.00.00-00:00:00 - Totaal dagverbruik: 0000, Totaal nachtverbruik: 000000, Totale dagopbrengst: 0000.000000, Totale nachtopbrengst: 000.000000, Totaal gasverbruik: 0.000000

Ontvangen om 22.11.24-22:00:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.858887, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:01:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.875000, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:02:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.914062, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:03:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.953125, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:04:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.993164, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:05:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.033203, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:06:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.073242, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:07:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.113770, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:08:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.155762, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:09:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.196777, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:10:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.237793, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:11:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.279785, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:12:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.319824, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:13:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.360840, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:14:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.401855, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:15:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.441895, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:16:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.479980, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:17:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.488770, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:18:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.500000, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:19:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.512207, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:20:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.523926, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.891113

Ontvangen om 00.00.00-00:00:00 - Totaal dagverbruik: 0000, Totaal nachtverbruik: 000000, Totale dagopbrengst: 0000.000000, Totale nachtopbrengst: 000.000000, Totaal gasverbruik: 0.000000

Ontvangen om 22.11.24-22:00:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.858887, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

